Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q9WVA3,Mitotic checkpoint protein BUB3 OS=Mus musculus (Mouse) OX=10090 GN=Bub3 PE=1 SV=2,36.9,12,9,8,3,11,5,5,10,9,3,12,5,6,-0.4,7.26E-01,10,10,8,11,8,9,3.87E+07,1.60E+07,6.22E+06,1.73E+07,1.21E+07,9.06E+06,,,
High,P24547,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus (Mouse) OX=10090 GN=Impdh2 PE=1 SV=2,55.8,7,7,2,1,3,1,2,10,2,1,3,1,2,-0.48,7.26E-01,8,2,3,4,2,2,2.30E+07,1.21E+06,1.65E+06,2.98E+06,9.05E+05,1.18E+06,,,
High,Q8R242,Di-N-acetylchitobiase OS=Mus musculus (Mouse) OX=10090 GN=Ctbs PE=1 SV=2,41.3,7,,7,1,,,4,,7,1,,,4,0.13,7.27E-01,1,5,4,2,4,5,3.65E+05,9.82E+06,2.68E+06,2.94E+06,1.38E+06,5.10E+06,,,
High,P43274,Histone H1.4 OS=Mus musculus (Mouse) OX=10090 GN=H1-4 PE=1 SV=2,22,6,11,16,10,16,7,8,42,30,19,29,12,15,-0.41,7.27E-01,6,6,6,6,6,6,5.54E+08,1.12E+09,8.78E+08,1.28E+09,6.04E+08,6.59E+08,,,
High,Q9D868,Peptidyl-prolyl cis-trans isomerase H OS=Mus musculus (Mouse) OX=10090 GN=Ppih PE=1 SV=1,20.5,2,1,2,,2,,2,1,2,,2,,2,-0.52,7.27E-01,2,2,1,2,1,,2.28E+06,2.01E+06,6.35E+05,2.75E+06,7.08E+05,,,,
High,Q9D7S9,Charged multivesicular body protein 5 OS=Mus musculus (Mouse) OX=10090 GN=Chmp5 PE=1 SV=1,24.6,2,1,2,,1,2,1,1,2,,1,2,2,-0.48,7.28E-01,2,2,1,2,2,2,4.21E+06,4.16E+06,1.22E+06,4.05E+06,2.83E+06,2.98E+06,,,
High,P35980,60S ribosomal protein L18 OS=Mus musculus (Mouse) OX=10090 GN=Rpl18 PE=1 SV=3,21.6,7,5,6,4,7,4,4,5,6,5,7,4,5,-0.41,7.29E-01,7,7,6,7,5,6,8.05E+07,8.01E+07,3.76E+07,8.85E+07,5.66E+07,6.02E+07,,,
High,Q9ES89,Exostosin-like 2 OS=Mus musculus (Mouse) OX=10090 GN=Extl2 PE=1 SV=1,37.4,3,,2,,3,,,,2,,3,,,0.12,7.29E-01,2,2,1,3,2,3,3.29E+06,2.09E+06,6.02E+05,9.09E+06,2.27E+06,2.16E+06,,,
High,Q9D1J3,SAP domain-containing ribonucleoprotein OS=Mus musculus (Mouse) OX=10090 GN=Sarnp PE=1 SV=3,23.5,7,6,7,5,7,3,5,6,7,5,7,3,5,-0.41,7.29E-01,6,7,7,7,6,6,2.44E+07,2.26E+07,1.61E+07,2.52E+07,1.70E+07,1.62E+07,,,
High,Q8VBZ3,Cleft lip and palate transmembrane protein 1 homolog OS=Mus musculus (Mouse) OX=10090 GN=Clptm1 PE=1 SV=1,75.2,5,2,3,,3,,,2,3,,3,,,0.36,7.30E-01,2,2,2,2,1,3,1.66E+06,5.18E+05,1.85E+05,6.64E+05,5.93E+04,1.01E+06,,,
High,Q6NZJ6,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus (Mouse) OX=10090 GN=Eif4g1 PE=1 SV=1,176,20,17,8,,5,,5,19,8,,5,,5,0.14,7.30E-01,11,7,5,10,6,7,2.87E+07,3.45E+06,3.86E+06,5.99E+06,4.26E+06,2.01E+06,,,
High,Q9Z2I0,Mitochondrial proton/calcium exchanger protein OS=Mus musculus (Mouse) OX=10090 GN=Letm1 PE=1 SV=1,82.9,15,5,10,,13,,3,6,11,,14,,3,0.04,7.31E-01,9,9,4,10,5,6,1.50E+07,1.43E+07,1.79E+06,1.47E+07,3.53E+07,6.66E+06,,,
High,Q62426,Cystatin-B OS=Mus musculus (Mouse) OX=10090 GN=Cstb PE=1 SV=1,11,2,1,2,2,2,1,1,1,2,2,2,1,1,-0.38,7.31E-01,2,2,2,2,1,2,2.12E+06,1.82E+07,1.08E+07,1.81E+07,2.76E+06,8.31E+06,,,
High,Q791T5,Mitochondrial carrier homolog 1 OS=Mus musculus (Mouse) OX=10090 GN=Mtch1 PE=1 SV=1,41.5,3,2,2,1,3,,,2,2,1,3,,,0.14,7.31E-01,2,2,1,3,,2,1.77E+06,2.43E+06,3.68E+05,2.87E+06,,1.32E+06,,,
High,Q9QZD8,Mitochondrial dicarboxylate carrier OS=Mus musculus (Mouse) OX=10090 GN=Slc25a10 PE=1 SV=2,31.7,3,1,1,,1,,,1,1,,1,,,0.11,7.32E-01,2,2,3,2,2,1,1.15E+06,3.30E+06,6.72E+06,2.30E+06,3.55E+06,3.61E+06,,,
High,Q63850,Nuclear pore glycoprotein p62 OS=Mus musculus (Mouse) OX=10090 GN=Nup62 PE=1 SV=2,53.2,5,2,4,,5,,1,3,4,,5,,1,-0.47,7.32E-01,2,4,,4,2,3,2.60E+06,4.36E+06,,4.78E+06,1.45E+06,2.42E+06,,,
High,P01942,Hemoglobin subunit alpha OS=Mus musculus (Mouse) OX=10090 GN=Hba PE=1 SV=2,15.1,11,6,8,7,8,6,6,103,171,94,96,83,72,0.02,7.33E-01,7,11,9,10,7,9,7.18E+09,1.38E+10,6.40E+09,7.26E+09,1.07E+10,5.85E+09,,,
High,Q9R0Q7,Prostaglandin E synthase 3 OS=Mus musculus (Mouse) OX=10090 GN=Ptges3 PE=1 SV=1,18.7,6,6,4,1,3,2,,10,5,1,3,2,,-0.41,7.35E-01,5,5,5,5,4,4,8.50E+07,3.23E+07,1.25E+07,3.05E+07,1.75E+07,2.44E+07,,,
High,O70435,Proteasome subunit alpha type-3 OS=Mus musculus (Mouse) OX=10090 GN=Psma3 PE=1 SV=3,28.4,8,6,6,3,6,3,5,7,6,3,6,4,5,0.07,7.35E-01,8,7,4,7,5,5,3.81E+07,1.11E+07,6.57E+06,1.72E+07,1.08E+07,1.17E+07,,,
High,Q9JM76,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Arpc3 PE=1 SV=3,20.5,4,4,3,1,4,1,2,5,4,1,5,1,3,0.13,7.36E-01,4,4,1,4,3,3,1.11E+07,6.19E+06,8.18E+05,6.79E+06,9.53E+06,4.09E+06,,,
High,Q99JW2,Aminoacylase-1 OS=Mus musculus (Mouse) OX=10090 GN=Acy1 PE=1 SV=1,45.8,9,2,6,4,7,1,5,2,7,4,7,1,5,0.12,7.36E-01,7,8,8,9,6,8,8.79E+06,8.23E+06,7.19E+06,1.26E+07,7.13E+06,8.94E+06,,,
High,P15864,Histone H1.2 OS=Mus musculus (Mouse) OX=10090 GN=H1-2 PE=1 SV=2,21.3,5,10,11,8,11,5,8,28,22,15,20,6,15,0.01,7.36E-01,5,5,5,5,5,5,3.17E+08,6.48E+08,3.59E+08,5.44E+08,2.41E+08,3.62E+08,,,
High,Q8BK67,Protein RCC2 OS=Mus musculus (Mouse) OX=10090 GN=Rcc2 PE=1 SV=1,55.9,10,6,3,,5,,,7,3,,5,,,-0.48,7.37E-01,6,4,2,5,2,4,7.42E+06,1.88E+06,5.99E+05,2.69E+06,6.72E+05,1.35E+06,,,
High,O88447,Kinesin light chain 1 OS=Mus musculus (Mouse) OX=10090 GN=Klc1 PE=1 SV=3,61.4,5,2,4,,8,,1,2,4,,8,,1,-0.48,7.37E-01,3,2,1,2,,1,2.35E+06,1.01E+06,8.25E+04,1.52E+06,,3.49E+05,,,
High,P62911,60S ribosomal protein L32 OS=Mus musculus (Mouse) OX=10090 GN=Rpl32 PE=1 SV=2,15.9,4,3,2,2,2,1,2,8,4,3,4,1,2,0.04,7.38E-01,6,5,4,4,2,4,4.26E+07,1.27E+07,6.54E+06,1.74E+07,7.18E+06,1.31E+07,,,
High,Q99JI4,26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus (Mouse) OX=10090 GN=Psmd6 PE=1 SV=1,45.5,14,11,9,2,14,2,4,14,9,2,16,2,5,-0.4,7.38E-01,10,10,8,11,5,6,2.40E+07,8.56E+06,3.82E+06,1.50E+07,6.50E+06,5.24E+06,,,
High,Q02053,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus (Mouse) OX=10090 GN=Uba1 PE=1 SV=1,117.7,28,20,29,15,25,13,17,33,42,19,38,15,23,-0.4,7.39E-01,24,23,20,23,17,19,2.25E+08,1.44E+08,6.47E+07,1.41E+08,1.09E+08,9.50E+07,,,
High,P52196,Thiosulfate sulfurtransferase OS=Mus musculus (Mouse) OX=10090 GN=Tst PE=1 SV=3,33.4,9,5,6,2,7,1,2,5,6,2,7,1,2,-0.38,7.39E-01,4,5,3,6,1,3,5.71E+06,6.55E+06,2.90E+06,2.00E+07,2.03E+06,4.39E+06,,,
High,Q9CPQ1,Cytochrome c oxidase subunit 6C OS=Mus musculus (Mouse) OX=10090 GN=Cox6c PE=1 SV=3,8.5,5,4,5,3,4,2,2,4,7,3,5,2,3,0.01,7.40E-01,5,5,4,4,4,3,3.41E+07,4.48E+07,2.78E+07,3.55E+07,2.20E+07,3.43E+07,,,
High,Q91VA7,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Idh3b PE=1 SV=1",42.2,13,6,12,,11,3,5,7,14,,16,3,6,-0.4,7.40E-01,10,14,10,13,6,9,2.53E+07,4.57E+07,1.00E+07,3.79E+07,1.19E+07,1.92E+07,,,
High,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5f1b PE=1 SV=2",56.3,27,22,24,21,24,19,21,87,66,40,66,43,51,-0.4,7.41E-01,30,33,31,33,25,33,1.14E+09,1.12E+09,6.44E+08,1.22E+09,8.51E+08,8.28E+08,,,
High,P16332,"Methylmalonyl-CoA mutase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Mmut PE=1 SV=2",82.8,3,1,2,,3,,2,2,2,,3,,2,0.16,7.43E-01,2,2,1,3,1,3,2.32E+06,1.65E+06,4.48E+05,4.23E+06,1.47E+06,1.84E+06,,,
High,Q8BTV2,Cleavage and polyadenylation specificity factor subunit 7 OS=Mus musculus (Mouse) OX=10090 GN=Cpsf7 PE=1 SV=2,52,5,3,3,1,2,,,3,3,1,2,,,-0.48,7.44E-01,1,2,2,2,2,1,1.47E+06,1.38E+06,7.49E+05,1.52E+06,9.84E+05,2.04E+05,,,
High,Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus (Mouse) OX=10090 GN=Aldh7a1 PE=1 SV=4,58.8,10,7,5,4,7,2,2,8,6,6,7,2,2,-0.47,7.44E-01,4,6,5,6,4,5,4.09E+06,4.79E+06,2.12E+06,4.45E+06,2.96E+06,2.70E+06,,,
High,P62900,60S ribosomal protein L31 OS=Mus musculus (Mouse) OX=10090 GN=Rpl31 PE=1 SV=1,14.5,6,6,5,4,4,4,3,8,6,5,5,4,5,0.01,7.44E-01,6,6,6,6,5,5,9.92E+07,3.55E+07,3.26E+07,5.41E+07,3.56E+07,3.40E+07,,,
High,Q9CZX8,40S ribosomal protein S19 OS=Mus musculus (Mouse) OX=10090 GN=Rps19 PE=1 SV=3,16.1,7,7,5,5,7,5,6,15,5,6,9,7,8,0.01,7.45E-01,8,8,7,8,8,8,2.05E+08,7.23E+07,5.59E+07,1.24E+08,5.91E+07,7.27E+07,,,
High,P62315,Small nuclear ribonucleoprotein Sm D1 OS=Mus musculus (Mouse) OX=10090 GN=Snrpd1 PE=1 SV=1,13.3,4,4,4,2,4,2,1,13,4,2,6,2,2,-0.39,7.45E-01,3,3,3,3,,2,2.48E+07,1.77E+07,1.17E+07,1.83E+07,,1.00E+07,,,
High,P67778,Prohibitin OS=Mus musculus (Mouse) OX=10090 GN=Phb PE=1 SV=1,29.8,13,9,12,9,10,6,8,12,14,10,15,7,8,-0.4,7.45E-01,11,12,12,12,10,10,1.31E+08,4.20E+07,2.72E+07,5.23E+07,2.65E+07,3.18E+07,,,
High,P51863,V-type proton ATPase subunit d 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp6v0d1 PE=1 SV=2,40.3,11,6,10,4,11,3,6,6,12,4,12,3,6,-0.39,7.48E-01,7,11,8,10,6,8,1.63E+07,2.46E+07,6.73E+06,1.66E+07,1.25E+07,1.19E+07,,,
High,Q8CIB5,Fermitin family homolog 2 OS=Mus musculus (Mouse) OX=10090 GN=Fermt2 PE=1 SV=1,77.8,10,7,7,,6,,2,7,7,,7,,2,0.13,7.49E-01,7,6,2,6,2,4,1.24E+07,5.94E+06,5.22E+05,7.15E+06,6.50E+06,1.93E+06,,,
High,Q9CRB6,Tubulin polymerization-promoting protein family member 3 OS=Mus musculus (Mouse) OX=10090 GN=Tppp3 PE=1 SV=1,19,9,5,7,6,8,5,6,8,9,6,10,5,6,0,7.50E-01,9,9,9,9,6,9,6.37E+07,8.83E+07,5.43E+07,7.66E+07,4.47E+07,6.38E+07,,,
High,Q8VEH3,ADP-ribosylation factor-like protein 8A OS=Mus musculus (Mouse) OX=10090 GN=Arl8a PE=1 SV=1,21.4,2,7,4,4,6,4,4,10,4,4,7,4,4,-0.39,7.51E-01,2,2,2,2,1,2,5.90E+06,5.22E+06,2.74E+06,4.93E+06,1.57E+06,4.00E+06,,,
High,O55100,Synaptogyrin-1 OS=Mus musculus (Mouse) OX=10090 GN=Syngr1 PE=1 SV=2,25.6,2,1,2,,1,1,2,1,3,,1,1,2,-0.42,7.52E-01,2,2,2,2,1,2,3.45E+06,3.72E+06,1.45E+06,4.36E+06,2.14E+06,2.58E+06,,,
High,Q9WUM3,Coronin-1B OS=Mus musculus (Mouse) OX=10090 GN=Coro1b PE=1 SV=1,53.9,10,6,8,,6,,3,7,9,,6,,3,-0.35,7.52E-01,6,7,5,8,5,7,1.71E+07,1.18E+07,3.03E+06,1.62E+07,9.28E+06,8.01E+06,,,
High,Q9CZU3,Exosome RNA helicase MTR4 OS=Mus musculus (Mouse) OX=10090 GN=Mtrex PE=1 SV=1,117.6,8,4,3,,4,1,,4,3,,4,1,,0.34,7.52E-01,2,2,1,2,,1,3.17E+06,5.57E+05,2.80E+05,1.25E+06,,3.96E+05,,,
High,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Idh1 PE=1 SV=2,46.6,16,15,12,8,13,7,7,19,14,9,14,7,7,-0.39,7.53E-01,12,13,11,12,7,12,5.17E+07,3.60E+07,2.35E+07,3.08E+07,2.06E+07,2.74E+07,,,
High,Q9CXE2,B-cell CLL/lymphoma 7 protein family member A OS=Mus musculus (Mouse) OX=10090 GN=Bcl7a PE=2 SV=1,22.8,2,1,2,,2,,,1,3,,2,,,-0.44,7.53E-01,2,2,2,2,1,,1.11E+06,1.19E+06,5.14E+05,1.24E+06,5.40E+05,,,,
High,Q62446,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Mus musculus (Mouse) OX=10090 GN=Fkbp3 PE=1 SV=2,25.1,7,4,7,2,6,2,4,4,8,2,8,2,6,-0.36,7.54E-01,6,7,4,7,5,6,1.72E+07,1.38E+07,4.50E+06,1.76E+07,9.88E+06,1.08E+07,,,
High,Q8K3C3,Protein LZIC OS=Mus musculus (Mouse) OX=10090 GN=Lzic PE=1 SV=1,21.5,3,,1,1,3,,1,,1,1,4,,1,-0.45,7.54E-01,2,2,3,3,2,2,1.16E+06,2.69E+06,1.83E+06,3.76E+06,1.23E+06,1.34E+06,,,
High,Q8C7K6,Prenylcysteine oxidase-like OS=Mus musculus (Mouse) OX=10090 GN=Pcyox1l PE=1 SV=1,54.8,4,1,4,,4,,3,1,4,,5,,3,0.1,7.54E-01,2,3,1,3,1,2,2.20E+06,3.11E+06,3.54E+05,6.77E+06,5.23E+05,2.35E+06,,,
High,P10630,Eukaryotic initiation factor 4A-II OS=Mus musculus (Mouse) OX=10090 GN=Eif4a2 PE=1 SV=2,46.4,7,15,13,9,13,4,9,32,15,9,14,6,9,-0.36,7.55E-01,6,6,3,6,3,5,9.91E+06,6.98E+06,2.67E+06,1.06E+07,3.35E+06,5.43E+06,,,
High,Q8VEM8,"Phosphate carrier protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Slc25a3 PE=1 SV=1",39.6,12,8,11,8,12,4,9,15,18,8,18,5,13,-0.39,7.56E-01,10,13,12,13,10,12,1.48E+08,1.14E+08,4.20E+07,1.22E+08,8.22E+07,8.68E+07,,,
High,Q9EQ61,Pescadillo homolog OS=Mus musculus (Mouse) OX=10090 GN=Pes1 PE=1 SV=1,67.8,4,4,1,,,,,4,1,,,,,0.29,7.57E-01,3,2,1,2,,1,2.93E+06,4.97E+05,1.16E+05,1.21E+06,,3.07E+05,,,
High,Q8BKC5,Importin-5 OS=Mus musculus (Mouse) OX=10090 GN=Ipo5 PE=1 SV=3,123.5,21,17,8,,6,,2,22,8,,6,,2,-0.37,7.58E-01,13,9,1,7,2,5,3.43E+07,5.19E+06,6.93E+04,5.33E+06,1.78E+06,4.00E+06,,,
High,P50580,Proliferation-associated protein 2G4 OS=Mus musculus (Mouse) OX=10090 GN=Pa2g4 PE=1 SV=3,43.7,14,12,8,6,12,6,8,23,8,6,13,6,8,0,7.58E-01,18,12,12,14,10,9,1.65E+08,2.14E+07,1.42E+07,3.19E+07,2.13E+07,1.90E+07,,,
High,Q9Z1R2,Large proline-rich protein BAG6 OS=Mus musculus (Mouse) OX=10090 GN=Bag6 PE=1 SV=1,121,8,2,6,,6,1,1,2,6,,7,1,1,-0.39,7.58E-01,2,5,2,5,2,3,4.95E+06,5.55E+06,7.63E+05,5.94E+06,2.61E+06,3.78E+06,,,
High,Q91VC7,Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus (Mouse) OX=10090 GN=Ppp1r14a PE=1 SV=1,16.6,6,5,6,6,5,3,4,8,14,8,9,5,5,-0.39,7.60E-01,4,6,7,6,4,3,2.40E+07,4.95E+07,1.99E+07,3.21E+07,1.28E+07,1.84E+07,,,
High,Q99KJ8,Dynactin subunit 2 OS=Mus musculus (Mouse) OX=10090 GN=Dctn2 PE=1 SV=3,44.1,13,9,10,8,11,9,8,11,14,10,15,10,10,-0.01,7.61E-01,9,11,8,12,10,11,2.69E+07,3.88E+07,1.78E+07,3.58E+07,2.68E+07,2.54E+07,,,
High,Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5pb PE=1 SV=1",28.9,14,7,8,7,13,4,5,9,10,7,16,4,5,-0.01,7.65E-01,7,13,8,13,7,9,2.94E+07,6.91E+07,2.43E+07,8.10E+07,2.48E+07,2.92E+07,,,
High,Q9JK48,Endophilin-B1 OS=Mus musculus (Mouse) OX=10090 GN=Sh3glb1 PE=1 SV=1,40.8,7,1,5,,7,1,1,1,6,,7,1,1,-0.39,7.65E-01,4,6,3,7,3,4,6.66E+06,4.77E+06,2.50E+06,7.26E+06,2.14E+06,3.65E+06,,,
High,P83917,Chromobox protein homolog 1 OS=Mus musculus (Mouse) OX=10090 GN=Cbx1 PE=1 SV=1,21.4,9,6,6,4,8,2,4,11,10,5,11,4,5,-0.38,7.65E-01,6,9,8,8,2,4,4.92E+06,7.67E+06,4.85E+06,6.99E+06,2.07E+06,3.79E+06,,,
High,Q9D6R2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Idh3a PE=1 SV=1",39.6,14,9,12,10,12,8,10,12,15,11,15,8,12,-0.38,7.66E-01,13,15,11,13,11,13,7.37E+07,9.86E+07,3.55E+07,9.54E+07,3.38E+07,5.65E+07,,,
High,Q9CY58,Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Serbp1 PE=1 SV=2,44.7,16,16,12,5,11,5,6,23,16,6,16,5,8,-0.38,7.66E-01,15,13,10,11,8,12,1.64E+08,3.51E+07,1.67E+07,4.92E+07,2.69E+07,2.15E+07,,,
High,P39749,Flap endonuclease 1 OS=Mus musculus (Mouse) OX=10090 GN=Fen1 PE=1 SV=1,42.3,5,3,3,,3,,,3,3,,4,,,0.08,7.67E-01,4,3,3,4,3,3,1.28E+07,2.22E+06,1.43E+06,4.25E+06,2.35E+06,1.31E+06,,,
High,Q8C570,mRNA export factor OS=Mus musculus (Mouse) OX=10090 GN=Rae1 PE=1 SV=1,40.9,6,2,4,,4,,,2,4,,5,,,0.11,7.67E-01,2,2,1,3,2,2,4.42E+06,1.18E+07,4.32E+06,1.01E+07,4.56E+06,4.79E+06,,,
High,D3YZZ5,GOLD domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=Tmed7 PE=1 SV=1,25.2,7,3,6,3,6,1,4,3,6,3,7,1,4,0.04,7.68E-01,4,7,5,7,3,5,1.19E+07,2.33E+07,6.50E+06,3.27E+07,5.37E+06,1.23E+07,,,
High,P61161,Actin-related protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Actr2 PE=1 SV=1,44.7,4,4,4,4,3,1,3,5,6,5,4,2,3,-0.35,7.69E-01,5,5,5,4,2,5,1.58E+07,1.00E+07,4.46E+06,1.07E+07,4.92E+06,7.86E+06,,,
High,Q9D5V5,Cullin-5 OS=Mus musculus (Mouse) OX=10090 GN=Cul5 PE=1 SV=3,90.9,11,2,7,,9,,,2,7,,9,,,-0.44,7.69E-01,4,8,2,8,2,4,2.79E+06,4.87E+06,5.37E+05,5.82E+06,1.17E+06,2.05E+06,,,
High,Q9QXT0,Protein canopy homolog 2 OS=Mus musculus (Mouse) OX=10090 GN=Cnpy2 PE=1 SV=1,20.8,8,5,1,1,5,2,2,5,1,1,7,2,2,-0.37,7.70E-01,5,4,4,6,2,5,1.83E+07,4.91E+06,2.48E+06,9.45E+06,2.33E+06,3.80E+06,,,
High,Q9D0E1,Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpm PE=1 SV=3,77.6,38,32,30,19,34,12,19,51,46,22,45,17,24,-0.38,7.71E-01,48,47,40,48,34,44,3.41E+08,1.87E+08,7.09E+07,2.02E+08,1.44E+08,1.25E+08,,,
High,Q9JLV6,Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus (Mouse) OX=10090 GN=Pnkp PE=1 SV=2,57.2,6,,5,,5,1,1,,6,,5,1,1,0.28,7.71E-01,1,4,3,4,2,2,2.83E+05,2.73E+06,9.10E+05,2.81E+06,5.29E+05,1.10E+06,,,
High,P58021,Transmembrane 9 superfamily member 2 OS=Mus musculus (Mouse) OX=10090 GN=Tm9sf2 PE=1 SV=1,75.3,8,4,6,1,7,2,3,4,8,1,10,2,3,-0.35,7.71E-01,4,6,4,7,2,4,7.72E+06,9.15E+06,3.89E+06,1.98E+07,5.14E+06,6.06E+06,,,
High,Q01730,Ras suppressor protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Rsu1 PE=1 SV=3,31.5,3,3,3,,2,,,3,3,,2,,,-0.46,7.71E-01,2,2,2,2,1,2,3.40E+06,2.11E+06,1.57E+06,4.00E+06,1.02E+06,1.53E+06,,,
High,Q8BHS3,Pre-mRNA-splicing factor RBM22 OS=Mus musculus (Mouse) OX=10090 GN=Rbm22 PE=1 SV=1,46.9,2,2,2,,2,1,,2,2,,2,1,,-0.42,7.71E-01,2,2,1,2,1,1,2.84E+06,1.03E+06,3.81E+05,1.88E+06,4.31E+05,7.71E+05,,,
High,Q64433,"10 kDa heat shock protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Hspe1 PE=1 SV=2",11,6,3,6,5,6,3,4,5,9,5,8,3,4,-0.38,7.72E-01,6,6,7,6,5,7,1.49E+08,1.01E+08,6.58E+07,1.14E+08,4.31E+07,7.74E+07,,,
High,Q8BW75,Amine oxidase [flavin-containing] B OS=Mus musculus (Mouse) OX=10090 GN=Maob PE=1 SV=4,58.5,7,1,4,,8,1,1,1,4,,8,1,1,0.28,7.72E-01,,3,3,4,2,2,,1.43E+06,5.09E+05,2.31E+06,6.62E+05,1.03E+06,,,
High,P58771,Tropomyosin alpha-1 chain OS=Mus musculus (Mouse) OX=10090 GN=Tpm1 PE=1 SV=1,32.7,4,6,4,3,4,5,2,6,4,3,4,6,2,0.13,7.72E-01,2,3,2,3,3,2,4.87E+06,5.21E+06,2.58E+06,5.32E+06,1.26E+07,4.87E+06,,,
High,P48428,Tubulin-specific chaperone A OS=Mus musculus (Mouse) OX=10090 GN=Tbca PE=1 SV=3,12.8,4,1,2,1,3,,2,1,2,1,3,,2,-0.4,7.72E-01,2,3,2,3,2,2,1.38E+07,1.50E+06,7.57E+05,2.47E+06,4.47E+05,1.13E+06,,,
High,E9Q7G0,Nuclear mitotic apparatus protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Numa1 PE=1 SV=1,235.5,54,19,37,2,43,5,24,19,39,2,48,5,26,-0.38,7.74E-01,21,37,31,40,24,38,1.29E+08,1.13E+08,5.55E+07,1.16E+08,5.94E+07,8.73E+07,,,
High,P56379,"ATP synthase subunit ATP5MPL, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5mpl PE=1 SV=1",6.7,2,1,1,1,2,,1,1,1,1,2,,1,-0.34,7.76E-01,2,2,2,2,2,2,5.60E+06,8.06E+06,3.32E+06,9.06E+06,3.75E+06,4.42E+06,,,
High,Q5SUF2,Luc7-like protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Luc7l3 PE=1 SV=1,51.4,3,3,3,,3,,1,6,3,,5,,1,-0.43,7.76E-01,3,2,1,3,2,1,4.91E+06,1.02E+06,1.55E+05,2.93E+06,7.61E+05,2.70E+05,,,
High,Q8CG76,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus (Mouse) OX=10090 GN=Akr7a2 PE=1 SV=3,40.6,9,6,6,2,7,1,2,6,8,2,8,1,2,-0.34,7.77E-01,5,7,4,8,4,6,1.28E+07,1.55E+07,2.38E+06,2.35E+07,3.54E+06,1.01E+07,,,
High,P84102,Small EDRK-rich factor 2 OS=Mus musculus (Mouse) OX=10090 GN=Serf2 PE=1 SV=1,6.9,2,2,2,1,2,2,,2,2,1,2,2,,0.23,7.77E-01,2,2,2,2,2,2,4.81E+06,7.22E+05,9.76E+05,1.15E+06,9.48E+05,1.18E+06,,,
High,Q99P88,Nuclear pore complex protein Nup155 OS=Mus musculus (Mouse) OX=10090 GN=Nup155 PE=1 SV=1,155,15,9,8,,11,,2,9,9,,11,,2,0.08,7.77E-01,7,10,2,9,4,4,1.03E+07,6.91E+06,1.95E+05,7.29E+06,2.93E+07,1.52E+06,,,
High,Q3UBX0,Transmembrane protein 109 OS=Mus musculus (Mouse) OX=10090 GN=Tmem109 PE=1 SV=2,26.3,3,2,3,2,2,2,,2,3,2,2,2,,-0.37,7.78E-01,2,3,3,3,2,2,3.57E+06,7.74E+06,4.74E+06,8.16E+06,3.67E+06,3.30E+06,,,
High,Q4VAA2,Protein CDV3 OS=Mus musculus (Mouse) OX=10090 GN=Cdv3 PE=1 SV=2,29.7,11,4,3,2,7,1,5,4,3,2,7,1,5,0.11,7.78E-01,5,5,5,6,5,6,8.56E+06,4.96E+06,5.50E+06,9.80E+06,5.93E+06,5.91E+06,,,
